,Segment,Country,Product,Discount Band,Units Sold,Sale Price,Gross Sales,Discounts,Net Sales,COGS,Order Date,Shipping Cost,Taxes,Category,Region,Shipping Method,Payment Method,Customer Segment,Order Priority,Promotion,Return Status,Order Channel,Region Manager,Marketing Source
127,Enterprise,Mexico,Velo,Low,2145,125,268125,5362.5,262762.5,257400,2013-10-01 Enterprise Mexico Velo,10725,39414.375,,North,Standard,Credit Card,Wholesale,High,,,In-Store,Manager1,
128,Channel Partners,France,Velo,Low,1055,12,12660,253.2,12406.8,3165,2014-12-01 Channel Partners France Velo,5275,1861.02,Category2,South,Priority,PayPal,Wholesale,High,,Not Returned,In-Store,Manager3,Email Campaign
129,Government,Mexico,Velo,Low,544,20,10880,217.6,10662.4,5440,2013-12-01 Government Mexico Velo,2720,1599.36,Category1,North,Express,PayPal,Wholesale,Low,,Not Returned,Phone,Manager3,
130,Channel Partners,Mexico,Velo,Low,1084,12,13008,260.16,12747.84,3252,2014-12-01 Channel Partners Mexico Velo,5420,1912.176,Category2,West,Priority,Cash,Retail,Medium,Holiday Discount,,In-Store,Manager3,Email Campaign
131,Enterprise,Mexico,VTT,Low,662,125,82750,1655,81095,79440,2014-06-01 Enterprise Mexico VTT,3310,12164.25,Category1,North,Standard,Credit Card,Retail,Medium,Flash Sale,,Online,Manager2,
132,Small Business,Germany,VTT,Low,214,300,64200,1284,62916,53500,2013-10-01 Small Business Germany VTT,1070,9437.4,,North,Priority,Cash,Wholesale,Low,,Returned,Phone,Manager1,TV Ads
133,Government,Germany,VTT,Low,2877,350,1006950,20139,986811,748020,2014-10-01 Government Germany VTT,14385,148021.65,,South,Standard,Credit Card,Wholesale,Medium,,Returned,Online,Manager2,
134,Enterprise,Canada,VTT,Low,2729,125,341125,6822.5,334302.5,327480,2014-12-01 Enterprise Canada VTT,13645,50145.375,Category2,North,Priority,Cash,Retail,High,,,In-Store,Manager1,Email Campaign
135,Government,United States of America,VTT,Low,266,350,93100,1862,91238,69160,2013-12-01 Government United States of America VTT,1330,13685.7,Category3,South,Express,Cash,Wholesale,High,Holiday Discount,Returned,Online,Manager3,TV Ads
136,Government,Mexico,VTT,Low,1940,350,679000,13580,665420,504400,2013-12-01 Government Mexico VTT,9700,99813,Category1,East,Priority,Credit Card,Retail,High,,Not Returned,In-Store,Manager3,Social Media
137,Small Business,Germany,Amarilla,Low,259,300,77700,1554,76146,64750,2014-03-01 Small Business Germany Amarilla,1295,11421.9,Category3,North,Priority,PayPal,Retail,Medium,,Not Returned,Online,Manager2,Email Campaign
138,Small Business,Mexico,Amarilla,Low,1101,300,330300,6606,323694,275250,2014-03-01 Small Business Mexico Amarilla,5505,48554.1,Category1,West,Priority,PayPal,Retail,High,Summer Sale,Returned,Online,Manager2,
139,Enterprise,Germany,Amarilla,Low,2276,125,284500,5690,278810,273120,2014-05-01 Enterprise Germany Amarilla,11380,41821.5,Category1,South,Priority,Credit Card,Retail,High,Holiday Discount,,In-Store,Manager1,TV Ads
140,Government,Germany,Amarilla,Low,2966,350,1038100,20762,1017338,771160,2013-10-01 Government Germany Amarilla,14830,152600.7,Category3,South,Priority,Cash,Wholesale,Medium,Summer Sale,,In-Store,Manager1,Social Media
141,Government,United States of America,Amarilla,Low,1236,20,24720,494.4,24225.6,12360,2014-11-01 Government United States of America Amarilla,6180,3633.84,,South,Express,PayPal,Retail,Medium,,Returned,Phone,Manager1,Email Campaign
142,Government,France,Amarilla,Low,941,20,18820,376.4,18443.6,9410,2014-11-01 Government France Amarilla,4705,2766.54,Category2,East,Standard,PayPal,Retail,Medium,Holiday Discount,,Phone,Manager2,TV Ads
143,Small Business,Canada,Amarilla,Low,1916,300,574800,11496,563304,479000,2014-12-01 Small Business Canada Amarilla,9580,84495.6,Category2,North,Standard,Credit Card,Wholesale,Low,Flash Sale,,In-Store,Manager2,
144,Enterprise,France,Carretera,Low,4243.5,125,530437.5,15913.125,514524.375,509220,2014-04-01 Enterprise France Carretera,21217.5,77178.65625,Category2,North,Priority,Cash,Wholesale,Low,Flash Sale,,Phone,Manager3,Social Media
145,Government,Germany,Carretera,Low,2580,20,51600,1548,50052,25800,2014-04-01 Government Germany Carretera,12900,7507.8,,West,Express,Credit Card,Wholesale,Low,Summer Sale,,Online,Manager2,Email Campaign
146,Small Business,Germany,Carretera,Low,689,300,206700,6201,200499,172250,2014-06-01 Small Business Germany Carretera,3445,30074.85,Category1,East,Priority,Cash,Wholesale,High,Flash Sale,,In-Store,Manager1,
147,Channel Partners,United States of America,Carretera,Low,1947,12,23364,700.92,22663.08,5841,2014-09-01 Channel Partners United States of America Carretera,9735,3399.462,Category3,East,Standard,PayPal,Wholesale,Medium,Flash Sale,,In-Store,Manager1,Email Campaign
148,Channel Partners,Canada,Carretera,Low,908,12,10896,326.88,10569.12,2724,2013-12-01 Channel Partners Canada Carretera,4540,1585.368,Category1,West,Standard,Credit Card,Wholesale,Medium,,,Online,Manager2,
149,Government,Germany,Montana,Low,1958,7,13706,411.18,13294.82,9790,2014-02-01 Government Germany Montana,9790,1994.223,Category1,West,Express,PayPal,Wholesale,High,Holiday Discount,Returned,Online,Manager2,TV Ads
150,Channel Partners,France,Montana,Low,1901,12,22812,684.36,22127.64,5703,2014-06-01 Channel Partners France Montana,9505,3319.146,Category1,East,Express,PayPal,Retail,Medium,Summer Sale,Returned,Online,Manager3,TV Ads
151,Government,France,Montana,Low,544,7,3808,114.24,3693.76,2720,2014-09-01 Government France Montana,2720,554.064,Category3,South,Standard,PayPal,Retail,Low,Summer Sale,Not Returned,Phone,Manager2,
152,Government,Germany,Montana,Low,1797,350,628950,18868.5,610081.5,467220,2013-09-01 Government Germany Montana,8985,91512.225,,East,Express,PayPal,Wholesale,Medium,,Returned,Online,Manager3,TV Ads
153,Enterprise,France,Montana,Low,1287,125,160875,4826.25,156048.75,154440,2014-12-01 Enterprise France Montana,6435,23407.3125,Category2,West,Standard,Credit Card,Retail,Low,,Returned,Phone,Manager1,TV Ads
154,Enterprise,Germany,Montana,Low,1706,125,213250,6397.5,206852.5,204720,2014-12-01 Enterprise Germany Montana,8530,31027.875,Category1,North,Standard,Credit Card,Retail,High,Summer Sale,Not Returned,In-Store,Manager3,
155,Small Business,France,Paseo,Low,2434.5,300,730350,21910.5,708439.5,608625,2014-01-01 Small Business France Paseo,12172.5,106265.925,Category3,West,Standard,PayPal,Retail,High,,Not Returned,Online,Manager2,
156,Enterprise,Canada,Paseo,Low,1774,125,221750,6652.5,215097.5,212880,2014-03-01 Enterprise Canada Paseo,8870,32264.625,Category1,North,Priority,PayPal,Wholesale,High,Holiday Discount,Not Returned,In-Store,Manager2,
157,Channel Partners,France,Paseo,Low,1901,12,22812,684.36,22127.64,5703,2014-06-01 Channel Partners France Paseo,9505,3319.146,Category3,East,Standard,Credit Card,Wholesale,Low,Holiday Discount,Not Returned,Online,Manager3,TV Ads
158,Small Business,Germany,Paseo,Low,689,300,206700,6201,200499,172250,2014-06-01 Small Business Germany Paseo,3445,30074.85,Category2,East,Express,Credit Card,Retail,Low,Summer Sale,Returned,In-Store,Manager3,Social Media
159,Enterprise,Germany,Paseo,Low,1570,125,196250,5887.5,190362.5,188400,2014-06-01 Enterprise Germany Paseo,7850,28554.375,Category2,South,Standard,Credit Card,Wholesale,Medium,,Returned,Phone,Manager2,Email Campaign
160,Channel Partners,United States of America,Paseo,Low,1369.5,12,16434,493.02,15940.98,4108.5,2014-07-01 Channel Partners United States of America Paseo,6847.5,2391.147,Category1,South,Express,Cash,Retail,Low,Summer Sale,,Online,Manager2,Social Media
161,Enterprise,Canada,Paseo,Low,2009,125,251125,7533.75,243591.25,241080,2014-10-01 Enterprise Canada Paseo,10045,36538.6875,,South,Priority,PayPal,Retail,High,Holiday Discount,,In-Store,Manager3,Social Media
162,Midmarket,Germany,Paseo,Low,1945,15,29175,875.25,28299.75,19450,2013-10-01 Midmarket Germany Paseo,9725,4244.9625,,East,Priority,PayPal,Wholesale,Low,Flash Sale,Not Returned,Online,Manager1,Email Campaign
163,Enterprise,France,Paseo,Low,1287,125,160875,4826.25,156048.75,154440,2014-12-01 Enterprise France Paseo,6435,23407.3125,Category2,South,Express,Credit Card,Retail,Low,Holiday Discount,,Phone,Manager3,TV Ads
164,Enterprise,Germany,Paseo,Low,1706,125,213250,6397.5,206852.5,204720,2014-12-01 Enterprise Germany Paseo,8530,31027.875,Category2,South,Express,Credit Card,Wholesale,High,,Returned,In-Store,Manager3,
165,Enterprise,Canada,Velo,Low,2009,125,251125,7533.75,243591.25,241080,2014-10-01 Enterprise Canada Velo,10045,36538.6875,Category2,North,Priority,Credit Card,Retail,High,Holiday Discount,Returned,In-Store,Manager1,TV Ads
166,Small Business,United States of America,VTT,Low,2844,300,853200,25596,827604,711000,2014-02-01 Small Business United States of America VTT,14220,124140.6,,East,Express,PayPal,Retail,Medium,Holiday Discount,Not Returned,In-Store,Manager2,Email Campaign
167,Channel Partners,Mexico,VTT,Low,1916,12,22992,689.76,22302.24,5748,2014-04-01 Channel Partners Mexico VTT,9580,3345.336,,West,Priority,Cash,Wholesale,Low,,,Online,Manager1,TV Ads
168,Enterprise,Germany,VTT,Low,1570,125,196250,5887.5,190362.5,188400,2014-06-01 Enterprise Germany VTT,7850,28554.375,Category1,South,Express,Credit Card,Wholesale,Medium,Holiday Discount,Not Returned,Phone,Manager3,
169,Small Business,Canada,VTT,Low,1874,300,562200,16866,545334,468500,2014-08-01 Small Business Canada VTT,9370,81800.1,Category2,East,Priority,PayPal,Wholesale,Low,Flash Sale,Returned,Phone,Manager1,TV Ads
170,Government,Mexico,VTT,Low,1642,350,574700,17241,557459,426920,2014-08-01 Government Mexico VTT,8210,83618.85,,South,Priority,Cash,Retail,Medium,Flash Sale,Returned,In-Store,Manager3,
171,Midmarket,Germany,VTT,Low,1945,15,29175,875.25,28299.75,19450,2013-10-01 Midmarket Germany VTT,9725,4244.9625,Category1,North,Priority,PayPal,Wholesale,Medium,Summer Sale,,Online,Manager2,
172,Government,Canada,Carretera,Low,831,20,16620,498.6,16121.4,8310,2014-05-01 Government Canada Carretera,4155,2418.21,Category2,North,Express,Cash,Retail,Low,Flash Sale,Not Returned,Phone,Manager1,
173,Government,Mexico,Paseo,Low,1760,7,12320,369.6,11950.4,8800,2013-09-01 Government Mexico Paseo,8800,1792.56,Category3,East,Standard,PayPal,Wholesale,Medium,Holiday Discount,Returned,Online,Manager2,Social Media
174,Government,Canada,Velo,Low,3850.5,20,77010,2310.3,74699.7,38505,2014-04-01 Government Canada Velo,19252.5,11204.955,Category3,East,Standard,Credit Card,Wholesale,Low,Holiday Discount,Not Returned,Phone,Manager2,
175,Channel Partners,Germany,VTT,Low,2479,12,29748,892.44,28855.56,7437,2014-01-01 Channel Partners Germany VTT,12395,4328.334,Category3,North,Standard,PayPal,Retail,High,,Returned,Phone,Manager3,
176,Midmarket,Mexico,Montana,Low,2031,15,30465,1218.6,29246.4,20310,2014-10-01 Midmarket Mexico Montana,10155,4386.96,Category2,West,Standard,Credit Card,Wholesale,Medium,,Returned,Online,Manager1,TV Ads
177,Midmarket,Mexico,Paseo,Low,2031,15,30465,1218.6,29246.4,20310,2014-10-01 Midmarket Mexico Paseo,10155,4386.96,Category2,North,Standard,Cash,Wholesale,Medium,Holiday Discount,,Phone,Manager3,Social Media
178,Midmarket,France,Paseo,Low,2261,15,33915,1356.6,32558.4,22610,2013-12-01 Midmarket France Paseo,11305,4883.76,Category3,South,Priority,Credit Card,Retail,High,,Not Returned,Online,Manager3,Social Media
179,Government,United States of America,Velo,Low,736,20,14720,588.8,14131.2,7360,2013-09-01 Government United States of America Velo,3680,2119.68,,North,Standard,PayPal,Retail,Medium,,,Phone,Manager3,TV Ads
180,Government,Canada,Carretera,Low,2851,7,19957,798.28,19158.72,14255,2013-10-01 Government Canada Carretera,14255,2873.808,Category3,West,Standard,PayPal,Wholesale,Medium,Flash Sale,Returned,Phone,Manager1,
181,Small Business,Germany,Carretera,Low,2021,300,606300,24252,582048,505250,2014-10-01 Small Business Germany Carretera,10105,87307.2,Category2,South,Priority,Credit Card,Wholesale,Medium,Holiday Discount,Not Returned,In-Store,Manager1,TV Ads
182,Government,United States of America,Carretera,Low,274,350,95900,3836,92064,71240,2014-12-01 Government United States of America Carretera,1370,13809.6,Category1,West,Express,Cash,Retail,Medium,,Not Returned,Online,Manager1,TV Ads
183,Midmarket,Canada,Montana,Low,1967,15,29505,1180.2,28324.8,19670,2014-03-01 Midmarket Canada Montana,9835,4248.72,Category1,South,Priority,Cash,Retail,High,,,Phone,Manager1,
184,Small Business,Germany,Montana,Low,1859,300,557700,22308,535392,464750,2014-08-01 Small Business Germany Montana,9295,80308.8,Category1,East,Standard,PayPal,Wholesale,Low,Flash Sale,Not Returned,Online,Manager2,
185,Government,Canada,Montana,Low,2851,7,19957,798.28,19158.72,14255,2013-10-01 Government Canada Montana,14255,2873.808,Category2,East,Priority,Credit Card,Retail,Medium,Summer Sale,Not Returned,Online,Manager1,
186,Small Business,Germany,Montana,Low,2021,300,606300,24252,582048,505250,2014-10-01 Small Business Germany Montana,10105,87307.2,,North,Priority,Credit Card,Wholesale,Medium,Summer Sale,,Phone,Manager1,Social Media
187,Enterprise,Mexico,Montana,Low,1138,125,142250,5690,136560,136560,2014-12-01 Enterprise Mexico Montana,5690,20484,Category3,South,Priority,PayPal,Retail,Medium,Summer Sale,Not Returned,In-Store,Manager2,
188,Government,Canada,Paseo,Low,4251,7,29757,1190.28,28566.72,21255,2014-01-01 Government Canada Paseo,21255,4285.008,Category3,West,Priority,Credit Card,Wholesale,High,Flash Sale,Not Returned,Online,Manager3,Social Media
189,Enterprise,Germany,Paseo,Low,795,125,99375,3975,95400,95400,2014-03-01 Enterprise Germany Paseo,3975,14310,Category1,West,Express,Credit Card,Wholesale,Low,Flash Sale,,Online,Manager3,Social Media
190,Small Business,Germany,Paseo,Low,1414.5,300,424350,16974,407376,353625,2014-04-01 Small Business Germany Paseo,7072.5,61106.4,Category1,South,Express,Cash,Wholesale,High,Flash Sale,,Phone,Manager1,Social Media
191,Small Business,United States of America,Paseo,Low,2918,300,875400,35016,840384,729500,2014-05-01 Small Business United States of America Paseo,14590,126057.6,Category1,North,Express,Cash,Retail,Low,Flash Sale,Returned,Online,Manager2,
192,Government,United States of America,Paseo,Low,3450,350,1207500,48300,1159200,897000,2014-07-01 Government United States of America Paseo,17250,173880,Category1,South,Priority,Credit Card,Retail,Medium,Summer Sale,Not Returned,Phone,Manager2,Email Campaign
193,Enterprise,France,Paseo,Low,2988,125,373500,14940,358560,358560,2014-07-01 Enterprise France Paseo,14940,53784,Category1,East,Standard,Cash,Retail,Low,Holiday Discount,Returned,Online,Manager1,TV Ads
194,Midmarket,Canada,Paseo,Low,218,15,3270,130.8,3139.2,2180,2014-09-01 Midmarket Canada Paseo,1090,470.88,,West,Standard,PayPal,Wholesale,Low,,,In-Store,Manager1,Social Media
195,Government,Canada,Paseo,Low,2074,20,41480,1659.2,39820.8,20740,2014-09-01 Government Canada Paseo,10370,5973.12,Category2,East,Express,Credit Card,Wholesale,Medium,Holiday Discount,,In-Store,Manager3,Social Media
196,Government,United States of America,Paseo,Low,1056,20,21120,844.8,20275.2,10560,2014-09-01 Government United States of America Paseo,5280,3041.28,Category2,West,Standard,PayPal,Wholesale,Low,Flash Sale,,In-Store,Manager3,Email Campaign
197,Midmarket,United States of America,Paseo,Low,671,15,10065,402.6,9662.4,6710,2013-10-01 Midmarket United States of America Paseo,3355,1449.36,,East,Priority,Credit Card,Wholesale,Medium,,,Phone,Manager1,Social Media
198,Midmarket,Mexico,Paseo,Low,1514,15,22710,908.4,21801.6,15140,2013-10-01 Midmarket Mexico Paseo,7570,3270.24,Category2,South,Express,Credit Card,Retail,High,Summer Sale,,Phone,Manager3,
199,Government,United States of America,Paseo,Low,274,350,95900,3836,92064,71240,2014-12-01 Government United States of America Paseo,1370,13809.6,Category3,East,Priority,PayPal,Retail,High,Flash Sale,Returned,Online,Manager1,Social Media
200,Enterprise,Mexico,Paseo,Low,1138,125,142250,5690,136560,136560,2014-12-01 Enterprise Mexico Paseo,5690,20484,Category1,East,Priority,PayPal,Wholesale,High,Summer Sale,Returned,Phone,Manager3,
201,Channel Partners,United States of America,Velo,Low,1465,12,17580,703.2,16876.8,4395,2014-03-01 Channel Partners United States of America Velo,7325,2531.52,Category1,North,Express,PayPal,Retail,High,Flash Sale,Returned,In-Store,Manager1,
202,Government,Canada,Velo,Low,2646,20,52920,2116.8,50803.2,26460,2013-09-01 Government Canada Velo,13230,7620.48,Category3,North,Priority,Credit Card,Wholesale,Medium,Flash Sale,Not Returned,Phone,Manager1,
203,Government,France,Velo,Low,2177,350,761950,30478,731472,566020,2014-10-01 Government France Velo,10885,109720.8,Category1,North,Express,Credit Card,Wholesale,Low,Holiday Discount,Not Returned,Online,Manager1,Email Campaign
204,Channel Partners,France,VTT,Low,866,12,10392,415.68,9976.32,2598,2014-05-01 Channel Partners France VTT,4330,1496.448,Category1,North,Priority,Credit Card,Wholesale,Medium,Summer Sale,,In-Store,Manager1,Social Media
205,Government,United States of America,VTT,Low,349,350,122150,4886,117264,90740,2013-09-01 Government United States of America VTT,1745,17589.6,Category2,West,Priority,PayPal,Retail,High,,,Online,Manager3,Social Media
206,Government,France,VTT,Low,2177,350,761950,30478,731472,566020,2014-10-01 Government France VTT,10885,109720.8,Category3,North,Priority,PayPal,Wholesale,Low,Holiday Discount,Returned,Online,Manager1,Email Campaign
207,Midmarket,Mexico,VTT,Low,1514,15,22710,908.4,21801.6,15140,2013-10-01 Midmarket Mexico VTT,7570,3270.24,Category1,East,Express,Credit Card,Wholesale,Low,Holiday Discount,Returned,Phone,Manager1,Email Campaign
208,Government,Mexico,Amarilla,Low,1865,350,652750,26110,626640,484900,2014-02-01 Government Mexico Amarilla,9325,93996,Category3,West,Express,PayPal,Wholesale,High,,Returned,Online,Manager2,Social Media
209,Enterprise,Mexico,Amarilla,Low,1074,125,134250,5370,128880,128880,2014-04-01 Enterprise Mexico Amarilla,5370,19332,Category1,East,Standard,Cash,Retail,Low,Flash Sale,Not Returned,Online,Manager1,
210,Government,Germany,Amarilla,Low,1907,350,667450,26698,640752,495820,2014-09-01 Government Germany Amarilla,9535,96112.8,,North,Standard,Credit Card,Wholesale,Medium,Summer Sale,Returned,Online,Manager2,
211,Midmarket,United States of America,Amarilla,Low,671,15,10065,402.6,9662.4,6710,2013-10-01 Midmarket United States of America Amarilla,3355,1449.36,Category3,North,Priority,Credit Card,Wholesale,High,Summer Sale,Not Returned,Online,Manager2,
212,Government,Canada,Amarilla,Low,1778,350,622300,24892,597408,462280,2013-12-01 Government Canada Amarilla,8890,89611.2,Category3,East,Express,Credit Card,Retail,Medium,Holiday Discount,,Online,Manager2,TV Ads
213,Government,Germany,Montana,Medium,1159,7,8113,405.65,7707.35,5795,2013-10-01 Government Germany Montana,5795,1156.1025,Category1,South,Express,Credit Card,Wholesale,Low,Flash Sale,,Phone,Manager3,TV Ads
214,Government,Germany,Paseo,Medium,1372,7,9604,480.2,9123.8,6860,2014-01-01 Government Germany Paseo,6860,1368.57,Category1,East,Priority,Credit Card,Retail,Medium,,Not Returned,Phone,Manager3,Email Campaign
215,Government,Canada,Paseo,Medium,2349,7,16443,822.15,15620.85,11745,2013-09-01 Government Canada Paseo,11745,2343.1275,Category3,North,Priority,Cash,Retail,Medium,Flash Sale,,In-Store,Manager3,Email Campaign
216,Government,Mexico,Paseo,Medium,2689,7,18823,941.15,17881.85,13445,2014-10-01 Government Mexico Paseo,13445,2682.2775,Category3,North,Standard,Credit Card,Retail,Medium,Summer Sale,Not Returned,In-Store,Manager1,Social Media
217,Channel Partners,Canada,Paseo,Medium,2431,12,29172,1458.6,27713.4,7293,2014-12-01 Channel Partners Canada Paseo,12155,4157.01,Category2,South,Standard,Credit Card,Retail,Medium,Summer Sale,,Phone,Manager1,Social Media
218,Channel Partners,Canada,Velo,Medium,2431,12,29172,1458.6,27713.4,7293,2014-12-01 Channel Partners Canada Velo,12155,4157.01,Category2,South,Priority,Credit Card,Wholesale,Low,,,Online,Manager2,Email Campaign
219,Government,Mexico,VTT,Medium,2689,7,18823,941.15,17881.85,13445,2014-10-01 Government Mexico VTT,13445,2682.2775,,North,Standard,PayPal,Wholesale,Low,Holiday Discount,Not Returned,In-Store,Manager1,Social Media
220,Government,Mexico,Amarilla,Medium,1683,7,11781,589.05,11191.95,8415,2014-07-01 Government Mexico Amarilla,8415,1678.7925,,West,Express,Cash,Wholesale,High,Summer Sale,,In-Store,Manager1,TV Ads
221,Channel Partners,Mexico,Amarilla,Medium,1123,12,13476,673.8,12802.2,3369,2014-08-01 Channel Partners Mexico Amarilla,5615,1920.33,Category2,East,Priority,Credit Card,Wholesale,Low,Summer Sale,,Online,Manager3,TV Ads
222,Government,Germany,Amarilla,Medium,1159,7,8113,405.65,7707.35,5795,2013-10-01 Government Germany Amarilla,5795,1156.1025,Category2,West,Standard,PayPal,Retail,High,Summer Sale,Returned,Phone,Manager3,
223,Channel Partners,France,Carretera,Medium,1865,12,22380,1119,21261,5595,2014-02-01 Channel Partners France Carretera,9325,3189.15,Category1,East,Priority,PayPal,Retail,High,Holiday Discount,,Online,Manager2,Social Media
224,Channel Partners,Germany,Carretera,Medium,1116,12,13392,669.6,12722.4,3348,2014-02-01 Channel Partners Germany Carretera,5580,1908.36,Category2,East,Express,Credit Card,Retail,Low,,,In-Store,Manager1,TV Ads
225,Government,France,Carretera,Medium,1563,20,31260,1563,29697,15630,2014-05-01 Government France Carretera,7815,4454.55,Category3,South,Priority,Cash,Retail,Low,Flash Sale,Returned,Online,Manager1,TV Ads
226,Small Business,United States of America,Carretera,Medium,991,300,297300,14865,282435,247750,2014-06-01 Small Business United States of America Carretera,4955,42365.25,Category2,North,Priority,PayPal,Wholesale,High,Flash Sale,Not Returned,Online,Manager3,
227,Government,Germany,Carretera,Medium,1016,7,7112,355.6,6756.4,5080,2013-11-01 Government Germany Carretera,5080,1013.46,Category1,North,Standard,PayPal,Wholesale,Medium,Flash Sale,,Phone,Manager1,TV Ads
228,Midmarket,Mexico,Carretera,Medium,2791,15,41865,2093.25,39771.75,27910,2014-11-01 Midmarket Mexico Carretera,13955,5965.7625,Category2,South,Standard,PayPal,Retail,Low,Summer Sale,Returned,In-Store,Manager1,
229,Government,United States of America,Carretera,Medium,570,7,3990,199.5,3790.5,2850,2014-12-01 Government United States of America Carretera,2850,568.575,Category1,South,Express,PayPal,Wholesale,Low,Holiday Discount,Returned,In-Store,Manager3,TV Ads
230,Government,France,Carretera,Medium,2487,7,17409,870.45,16538.55,12435,2014-12-01 Government France Carretera,12435,2480.7825,Category2,West,Priority,Cash,Wholesale,Medium,,Not Returned,In-Store,Manager1,TV Ads
231,Government,France,Montana,Medium,1384.5,350,484575,24228.75,460346.25,359970,2014-01-01 Government France Montana,6922.5,69051.9375,Category2,West,Standard,PayPal,Wholesale,Medium,Flash Sale,Returned,In-Store,Manager3,Email Campaign
232,Enterprise,United States of America,Montana,Medium,3627,125,453375,22668.75,430706.25,435240,2014-07-01 Enterprise United States of America Montana,18135,64605.9375,Category2,North,Express,Credit Card,Retail,Medium,,Not Returned,Online,Manager1,
233,Government,Mexico,Montana,Medium,720,350,252000,12600,239400,187200,2013-09-01 Government Mexico Montana,3600,35910,Category3,North,Standard,Cash,Wholesale,Medium,Holiday Discount,,Phone,Manager1,TV Ads
234,Channel Partners,Germany,Montana,Medium,2342,12,28104,1405.2,26698.8,7026,2014-11-01 Channel Partners Germany Montana,11710,4004.82,Category2,East,Priority,Credit Card,Retail,High,Holiday Discount,Not Returned,Phone,Manager3,
235,Small Business,Mexico,Montana,Medium,1100,300,330000,16500,313500,275000,2013-12-01 Small Business Mexico Montana,5500,47025,Category3,West,Express,PayPal,Wholesale,Medium,Flash Sale,Returned,Online,Manager1,
236,Government,France,Paseo,Medium,1303,20,26060,1303,24757,13030,2014-02-01 Government France Paseo,6515,3713.55,Category2,South,Express,Cash,Retail,High,Flash Sale,,Phone,Manager3,Email Campaign
237,Enterprise,United States of America,Paseo,Medium,2992,125,374000,18700,355300,359040,2014-03-01 Enterprise United States of America Paseo,14960,53295,Category1,East,Express,PayPal,Retail,Medium,Holiday Discount,Returned,Online,Manager2,TV Ads
238,Enterprise,France,Paseo,Medium,2385,125,298125,14906.25,283218.75,286200,2014-03-01 Enterprise France Paseo,11925,42482.8125,Category2,North,Standard,Credit Card,Wholesale,Low,Summer Sale,Not Returned,Phone,Manager3,TV Ads
239,Small Business,Mexico,Paseo,Medium,1607,300,482100,24105,457995,401750,2014-04-01 Small Business Mexico Paseo,8035,68699.25,Category2,South,Priority,PayPal,Retail,High,,Returned,Phone,Manager3,Email Campaign
240,Government,United States of America,Paseo,Medium,2327,7,16289,814.45,15474.55,11635,2014-05-01 Government United States of America Paseo,11635,2321.1825,,South,Standard,PayPal,Retail,Medium,Summer Sale,,In-Store,Manager1,
241,Small Business,United States of America,Paseo,Medium,991,300,297300,14865,282435,247750,2014-06-01 Small Business United States of America Paseo,4955,42365.25,,East,Standard,Cash,Wholesale,Medium,,,In-Store,Manager2,
242,Government,United States of America,Paseo,Medium,602,350,210700,10535,200165,156520,2014-06-01 Government United States of America Paseo,3010,30024.75,Category3,West,Priority,Cash,Wholesale,Low,Flash Sale,Returned,Phone,Manager2,
243,Midmarket,France,Paseo,Medium,2620,15,39300,1965,37335,26200,2014-09-01 Midmarket France Paseo,13100,5600.25,Category2,East,Priority,Credit Card,Wholesale,Low,Summer Sale,Not Returned,In-Store,Manager3,
244,Government,Canada,Paseo,Medium,1228,350,429800,21490,408310,319280,2013-10-01 Government Canada Paseo,6140,61246.5,,East,Standard,PayPal,Retail,High,,Returned,In-Store,Manager2,Social Media
245,Government,Canada,Paseo,Medium,1389,20,27780,1389,26391,13890,2013-10-01 Government Canada Paseo,6945,3958.65,,West,Standard,Cash,Wholesale,Low,Summer Sale,,In-Store,Manager2,Social Media
246,Enterprise,United States of America,Paseo,Medium,861,125,107625,5381.25,102243.75,103320,2014-10-01 Enterprise United States of America Paseo,4305,15336.5625,Category3,South,Standard,Cash,Wholesale,Medium,,Returned,Phone,Manager1,Social Media
247,Enterprise,France,Paseo,Medium,704,125,88000,4400,83600,84480,2013-10-01 Enterprise France Paseo,3520,12540,Category2,West,Standard,PayPal,Retail,Medium,,Returned,Phone,Manager3,Email Campaign
248,Government,Canada,Paseo,Medium,1802,20,36040,1802,34238,18020,2013-12-01 Government Canada Paseo,9010,5135.7,Category2,South,Priority,Cash,Retail,High,,Not Returned,Phone,Manager2,TV Ads
249,Government,United States of America,Paseo,Medium,2663,20,53260,2663,50597,26630,2014-12-01 Government United States of America Paseo,13315,7589.55,Category2,West,Standard,Credit Card,Wholesale,Low,Holiday Discount,Returned,Phone,Manager2,TV Ads
250,Government,France,Paseo,Medium,2136,7,14952,747.6,14204.4,10680,2013-12-01 Government France Paseo,10680,2130.66,Category1,South,Priority,Cash,Wholesale,High,Holiday Discount,Not Returned,Online,Manager3,TV Ads
251,Midmarket,Germany,Paseo,Medium,2116,15,31740,1587,30153,21160,2013-12-01 Midmarket Germany Paseo,10580,4522.95,Category2,East,Standard,Credit Card,Wholesale,Medium,Summer Sale,Returned,In-Store,Manager3,TV Ads
252,Midmarket,United States of America,Velo,Medium,555,15,8325,416.25,7908.75,5550,2014-01-01 Midmarket United States of America Velo,2775,1186.3125,Category3,South,Standard,Credit Card,Retail,Low,Holiday Discount,Returned,Phone,Manager2,Social Media
